chr,start,end,strand,name,id
chr11,64902429,64902450,-,"hsa-miR-6749-5p","MI0022594"
chr11,64902387,64902407,-,"hsa-miR-6749-3p","MI0022594"
chr11,65018510,65018531,+,"hsa-miR-6879-5p","MI0022726"
chr11,65018550,65018570,+,"hsa-miR-6879-3p","MI0022726"
chr11,65129951,65129973,-,"hsa-miR-6751-5p","MI0022596"
chr11,65129916,65129936,-,"hsa-miR-6751-3p","MI0022596"
chr11,65444473,65444497,+,"hsa-miR-612","MI0003625"
chr11,65636310,65636331,+,"hsa-miR-4690-5p","MI0017323"
chr11,65636348,65636368,+,"hsa-miR-4690-3p","MI0017323"
chr11,65649197,65649217,+,"hsa-miR-4489","MI0016850"
chr11,66934476,66934497,-,"hsa-miR-3163","MI0014193"
chr11,67045683,67045704,+,"hsa-miR-6860","MI0022707"
chr11,67490250,67490271,+,"hsa-miR-6752-5p","MI0022597"
chr11,67490295,67490315,+,"hsa-miR-6752-3p","MI0022597"
chr11,68032865,68032885,+,"hsa-miR-7113-5p","MI0022964"
chr11,68032900,68032922,+,"hsa-miR-7113-3p","MI0022964"
chr11,68033910,68033932,+,"hsa-miR-4691-5p","MI0017324"
chr11,68033949,68033971,+,"hsa-miR-4691-3p","MI0017324"
chr11,68044794,68044815,+,"hsa-miR-6753-5p","MI0022598"
chr11,68044932,68044953,+,"hsa-miR-6753-3p","MI0022598"
chr11,69083185,69083206,+,"hsa-miR-3164","MI0014194"
chr11,70283986,70284007,+,"hsa-miR-548k","MI0006354"
chr11,70872327,70872348,-,"hsa-miR-3664-5p","MI0016065"
chr11,70872289,70872310,-,"hsa-miR-3664-3p","MI0016065"
chr11,71473508,71473529,+,"hsa-miR-6754-5p","MI0022599"
chr11,71473546,71473567,+,"hsa-miR-6754-3p","MI0022599"
chr11,72072272,72072293,-,"hsa-miR-3165","MI0014195"
chr11,72615102,72615124,-,"hsa-miR-139-5p","MI0000261"
chr11,72615066,72615088,-,"hsa-miR-139-3p","MI0000261"
chr11,72783566,72783587,+,"hsa-miR-4692","MI0017325"
chr11,74399301,74399322,+,"hsa-miR-548al","MI0016851"
chr11,74720307,74720328,-,"hsa-miR-4696","MI0017329"
chr11,75335108,75335127,-,"hsa-miR-326","MI0000808"
chr11,79402077,79402099,-,"hsa-miR-708-5p","MI0005543"
chr11,79402032,79402053,-,"hsa-miR-708-3p","MI0005543"
chr11,79422206,79422226,-,"hsa-miR-5579-5p","MI0019133"
chr11,79422169,79422190,-,"hsa-miR-5579-3p","MI0019133"
chr11,81890751,81890768,-,"hsa-miR-4300","MI0015831"
chr11,86278338,86278359,+,"hsa-miR-6755-5p","MI0022600"
chr11,86278377,86278398,+,"hsa-miR-6755-3p","MI0022600"
chr11,88176561,88176583,+,"hsa-miR-3166","MI0014196"
chr11,90555785,90555806,-,"hsa-miR-4490","MI0016852"
chr11,90869180,90869198,-,"hsa-miR-1261","MI0006396"
chr11,93733724,93733745,-,"hsa-miR-1304-5p","MI0006371"
chr11,93733691,93733712,-,"hsa-miR-1304-3p","MI0006371"
chr11,94466545,94466566,-,"hsa-miR-548l","MI0006361"
chr11,96341447,96341465,+,"hsa-miR-1260b","MI0014197"
chr11,101519834,101519855,-,"hsa-miR-3920","MI0016427"
chr11,103849915,103849937,+,"hsa-miR-4693-5p","MI0017326"
chr11,103849951,103849973,+,"hsa-miR-4693-3p","MI0017326"
chr11,111347802,111347823,+,"hsa-miR-4491","MI0016853"
chr11,111512950,111512972,+,"hsa-miR-34b-5p","MI0000742"
chr11,111512987,111513008,+,"hsa-miR-34b-3p","MI0000742"
chr11,111513451,111513473,+,"hsa-miR-34c-5p","MI0000743"
chr11,111513484,111513505,+,"hsa-miR-34c-3p","MI0000743"
chr11,113450059,113450078,-,"hsa-miR-4301","MI0015828"
chr11,118644015,118644034,+,"hsa-miR-6716-5p","MI0022550"
chr11,118644048,118644069,+,"hsa-miR-6716-3p","MI0022550"
chr11,118910765,118910781,+,"hsa-miR-4492","MI0016854"
chr11,119312985,119313007,-,"hsa-miR-6756-5p","MI0022601"
chr11,119312950,119312969,-,"hsa-miR-6756-3p","MI0022601"
chr11,122099809,122099830,-,"hsa-miR-125b-5p","MI0000446"
chr11,122099769,122099790,-,"hsa-miR-125b-1-3p","MI0000446"
chr11,122146568,122146589,-,"hsa-let-7a-5p","MI0000061"
chr11,122146523,122146544,-,"hsa-let-7a-2-3p","MI0000061"
chr11,122152103,122152122,-,"hsa-miR-10526-3p","MI0033673"
chr11,122152275,122152296,-,"hsa-miR-100-5p","MI0000102"
chr11,122152240,122152261,-,"hsa-miR-100-3p","MI0000102"
chr11,123381441,123381461,-,"hsa-miR-4493","MI0016855"
chr11,126988468,126988489,-,"hsa-miR-3167","MI0014198"
chr11,128522430,128522448,+,"hsa-miR-6090","MI0020367"
chr11,130666745,130666766,+,"hsa-miR-8052","MI0025888"
chr11,133898551,133898572,-,"hsa-miR-4697-5p","MI0017330"
chr11,133898506,133898529,-,"hsa-miR-4697-3p","MI0017330"
chr12,1660316,1660334,-,"hsa-miR-3649","MI0016049"
chr12,6963703,6963724,+,"hsa-miR-200c-5p","MI0000650"
chr12,6963742,6963764,+,"hsa-miR-200c-3p","MI0000650"
chr12,6964113,6964134,+,"hsa-miR-141-5p","MI0000457"
chr12,6964155,6964176,+,"hsa-miR-141-3p","MI0000457"
chr12,9239472,9239497,-,"hsa-miR-1244","MI0015975"
chr12,12112006,12112031,+,"hsa-miR-1244","MI0031511"
chr12,12764709,12764728,+,"hsa-miR-613","MI0003626"
chr12,12915882,12915904,+,"hsa-miR-614","MI0003627"
chr12,17673308,17673330,+,"hsa-miR-3974","MI0016992"
chr12,24212471,24212490,+,"hsa-miR-920","MI0005712"
chr12,25874052,25874069,-,"hsa-miR-4302","MI0015833"
chr12,42323740,42323761,-,"hsa-miR-7851-3p","MI0025521"
chr12,47187860,47187882,+,"hsa-miR-4698","MI0017331"
chr12,47364197,47364218,-,"hsa-miR-4494","MI0016856"
chr12,48132800,48132821,+,"hsa-miR-6505-5p","MI0022217"
chr12,48132847,48132867,+,"hsa-miR-6505-3p","MI0022217"
chr12,48654494,48654517,-,"hsa-miR-1291","MI0006353"
chr12,48772014,48772035,-,"hsa-miR-4701-5p","MI0017334"
chr12,48771980,48771999,-,"hsa-miR-4701-3p","MI0017334"
chr12,50234182,50234203,-,"hsa-miR-1293","MI0006355"
chr12,52898903,52898924,-,"hsa-miR-9898","MI0031826"
chr12,53056949,53056970,+,"hsa-miR-6757-5p","MI0022602"
chr12,53056990,53057011,+,"hsa-miR-6757-3p","MI0022602"
chr12,53991762,53991783,+,"hsa-miR-196a-5p","MI0000279"
chr12,53991799,53991820,+,"hsa-miR-196a-3p","MI0000279"
chr12,54033967,54033988,+,"hsa-miR-615-5p","MI0003628"
chr12,54034010,54034031,+,"hsa-miR-615-3p","MI0003628"
chr12,54231407,54231428,-,"hsa-miR-3198","MI0017335"
chr12,54337240,54337261,+,"hsa-miR-148b-5p","MI0000811"
chr12,54337278,54337299,+,"hsa-miR-148b-3p","MI0000811"
chr12,57194504,57194524,+,"hsa-miR-1228-5p","MI0006318"
chr12,57194555,57194574,+,"hsa-miR-1228-3p","MI0006318"
chr12,57512693,57512715,+,"hsa-miR-6758-5p","MI0022603"
chr12,57512731,57512750,+,"hsa-miR-6758-3p","MI0022603"
chr12,57519223,57519244,-,"hsa-miR-616-5p","MI0003629"
chr12,57519183,57519204,-,"hsa-miR-616-3p","MI0003629"
chr12,57748656,57748677,-,"hsa-miR-6759-5p","MI0022604"
chr12,57748618,57748639,-,"hsa-miR-6759-3p","MI0022604"
chr12,57824658,57824679,-,"hsa-miR-26a-5p","MI0000750"
chr12,57824620,57824641,-,"hsa-miR-26a-2-3p","MI0000750"
chr12,62260418,62260437,+,"hsa-miR-6125","MI0021259"
chr12,62603691,62603712,+,"hsa-let-7i-5p","MI0000434"
chr12,62603747,62603768,+,"hsa-let-7i-3p","MI0000434"
chr12,63823663,63823685,+,"hsa-miR-10527-5p","MI0033674"
chr12,64622533,64622554,+,"hsa-miR-548c-5p","MI0003630"
chr12,64622569,64622590,+,"hsa-miR-548c-3p","MI0003630"
chr12,64622530,64622552,-,"hsa-miR-548z","MI0016688"
chr12,66023650,66023669,-,"hsa-miR-6074","MI0020351"
chr12,66251091,66251112,+,"hsa-miR-6502-5p","MI0022214"
chr12,66251128,66251148,+,"hsa-miR-6502-3p","MI0022214"
chr12,69273188,69273204,-,"hsa-miR-1279","MI0006426"
chr12,69584780,69584801,-,"hsa-miR-3913-5p","MI0016417"
chr12,69584744,69584765,-,"hsa-miR-3913-3p","MI0016417"
chr12,69584744,69584765,+,"hsa-miR-3913-5p","MI0016418"
chr12,69584780,69584801,+,"hsa-miR-3913-3p","MI0016418"
chr12,79419261,79419282,+,"hsa-miR-1252-5p","MI0006434"
chr12,79419296,79419317,+,"hsa-miR-1252-3p","MI0006434"
chr12,80832593,80832614,-,"hsa-miR-617","MI0003631"
chr12,80935796,80935818,-,"hsa-miR-618","MI0003632"
chr12,81158397,81158418,+,"hsa-miR-4699-5p","MI0017332"
chr12,81158433,81158454,+,"hsa-miR-4699-3p","MI0017332"
chr12,86745113,86745136,-,"hsa-miR-3059-5p","MI0039499"
chr12,86745079,86745100,-,"hsa-miR-3059-3p","MI0039499"
chr12,94561794,94561815,+,"hsa-miR-5700","MI0019307"
chr12,94571306,94571327,-,"hsa-miR-7844-5p","MI0025514"
chr12,94834427,94834449,+,"hsa-miR-492","MI0003131"
chr12,95308445,95308466,+,"hsa-miR-331-5p","MI0000812"
chr12,95308480,95308500,+,"hsa-miR-331-3p","MI0000812"
chr12,95309928,95309949,+,"hsa-miR-3685","MI0016086"
chr12,97491913,97491933,+,"hsa-miR-1251-5p","MI0006386"
chr12,97491951,97491971,+,"hsa-miR-1251-3p","MI0006386"
chr12,97563834,97563856,+,"hsa-miR-135a-5p","MI0000453"
chr12,97563872,97563893,+,"hsa-miR-135a-2-3p","MI0000453"
chr12,97939097,97939117,-,"hsa-miR-4495","MI0016857"
chr12,97995422,97995438,-,"hsa-miR-4303","MI0015834"
chr12,100189932,100189949,+,"hsa-miR-1827","MI0008195"
chr12,103930425,103930442,+,"hsa-miR-3652","MI0016052"
chr12,104591694,104591715,+,"hsa-miR-3922-3p","MI0016429"
chr12,104591645,104591667,+,"hsa-miR-3922-5p","MI0016429"
chr12,108635849,108635870,+,"hsa-miR-4496","MI0016858"
chr12,108836923,108836946,-,"hsa-miR-619-3p","MI0003633"
chr12,108836962,108836983,-,"hsa-miR-619-5p","MI0003633"
chr12,109833350,109833366,+,"hsa-miR-4497","MI0016859"
chr12,111304147,111304169,+,"hsa-miR-6760-5p","MI0022605"
chr12,111304189,111304209,+,"hsa-miR-6760-3p","MI0022605"
chr12,111799839,111799859,+,"hsa-miR-6761-5p","MI0022606"
chr12,111799882,111799903,+,"hsa-miR-6761-3p","MI0022606"
chr12,112037627,112037647,-,"hsa-miR-3657","MI0016057"
chr12,112163295,112163316,-,"hsa-miR-6861-5p","MI0022708"
chr12,112163265,112163282,-,"hsa-miR-6861-3p","MI0022708"
chr12,112695082,112695102,-,"hsa-miR-1302","MI0006362"
chr12,113159153,113159172,-,"hsa-miR-7106-5p","MI0022957"
chr12,113159113,113159135,-,"hsa-miR-7106-3p","MI0022957"
chr12,113291528,113291550,+,"hsa-miR-6762-5p","MI0022607"
chr12,113291586,113291608,+,"hsa-miR-6762-3p","MI0022607"
chr12,116148575,116148594,-,"hsa-miR-620","MI0003634"
chr12,116428294,116428311,-,"hsa-miR-4472","MI0016824"
chr12,119713649,119713669,-,"hsa-miR-1178-3p","MI0006271"
chr12,119713678,119713695,-,"hsa-miR-1178-5p","MI0006271"
chr12,120155473,120155494,-,"hsa-miR-4498","MI0016860"
chr12,120723202,120723223,+,"hsa-miR-4700-5p","MI0017333"
chr12,120723233,120723258,+,"hsa-miR-4700-3p","MI0017333"
chr12,121444326,121444347,-,"hsa-miR-7107-5p","MI0022958"
chr12,121444279,121444305,-,"hsa-miR-7107-3p","MI0022958"
chr12,122695964,122695985,-,"hsa-miR-9902","MI0031830"
chr12,122709389,122709410,-,"hsa-miR-9902","MI0041071"
chr12,123010702,123010718,-,"hsa-miR-4304","MI0015832"
chr12,123364814,123364833,-,"hsa-miR-8072","MI0025908"
chr12,123536413,123536434,+,"hsa-miR-3908","MI0016412"
chr12,124337216,124337237,-,"hsa-miR-6880-5p","MI0022727"
chr12,124337181,124337201,-,"hsa-miR-6880-3p","MI0022727"
chr12,124915610,124915632,+,"hsa-miR-5188","MI0018167"
chr12,128294105,128294126,+,"hsa-miR-3612","MI0016002"
chr12,132582002,132582020,+,"hsa-miR-6763-5p","MI0022608"
chr12,132582041,132582061,+,"hsa-miR-6763-3p","MI0022608"
chr13,20433830,20433846,-,"hsa-miR-4499","MI0016862"
chr13,24162469,24162490,+,"hsa-miR-2276-3p","MI0011282"
chr13,24162431,24162452,+,"hsa-miR-2276-5p","MI0011282"
chr13,39664108,39664125,-,"hsa-miR-4305","MI0015835"
chr13,40727828,40727846,-,"hsa-miR-320d","MI0008190"
chr13,40810826,40810846,+,"hsa-miR-621","MI0003635"
chr13,41101076,41101092,-,"hsa-miR-3168","MI0014199"
chr13,41568355,41568375,-,"hsa-miR-5006-5p","MI0017873"
chr13,41568306,41568326,-,"hsa-miR-5006-3p","MI0017873"
chr13,44196171,44196190,-,"hsa-miR-8079","MI0025915"
chr13,49996465,49996486,-,"hsa-miR-3613-5p","MI0016003"
chr13,49996426,49996449,-,"hsa-miR-3613-3p","MI0016003"
chr13,50049027,50049048,-,"hsa-miR-16-5p","MI0000070"
chr13,50048985,50049006,-,"hsa-miR-16-1-3p","MI0000070"
chr13,50049167,50049188,-,"hsa-miR-15a-5p","MI0000069"
chr13,50049130,50049151,-,"hsa-miR-15a-3p","MI0000069"
chr13,51348576,51348597,-,"hsa-miR-5693","MI0019300"
chr13,51552599,51552621,+,"hsa-miR-4703-5p","MI0017336"
chr13,51552637,51552658,+,"hsa-miR-4703-3p","MI0017336"
chr13,52810073,52810094,+,"hsa-miR-759","MI0004065"
chr13,54311981,54311997,-,"hsa-miR-1297","MI0006358"
chr13,55174474,55174495,+,"hsa-miR-5007-5p","MI0017874"
chr13,55174509,55174530,+,"hsa-miR-5007-3p","MI0017874"
chr13,61199848,61199869,-,"hsa-miR-3169","MI0014200"
chr13,65966352,65966371,-,"hsa-miR-548x-3p","MI0016833"
chr13,66218259,66218280,+,"hsa-miR-4704-5p","MI0017337"
chr13,66218296,66218317,+,"hsa-miR-4704-3p","MI0017337"
chr13,77698075,77698092,-,"hsa-miR-3665","MI0016066"
chr13,87618671,87618687,-,"hsa-miR-4500","MI0016863"
chr13,90231242,90231262,+,"hsa-miR-622","MI0003636"
chr13,91350618,91350640,+,"hsa-miR-17-5p","MI0000071"
chr13,91350655,91350676,+,"hsa-miR-17-3p","MI0000071"
chr13,91350756,91350778,+,"hsa-miR-18a-5p","MI0000072"
chr13,91350797,91350819,+,"hsa-miR-18a-3p","MI0000072"
chr13,91350904,91350925,+,"hsa-miR-19a-5p","MI0000073"
chr13,91350939,91350961,+,"hsa-miR-19a-3p","MI0000073"
chr13,91351072,91351094,+,"hsa-miR-20a-5p","MI0000076"
chr13,91351108,91351129,+,"hsa-miR-20a-3p","MI0000076"
chr13,91351207,91351229,+,"hsa-miR-19b-1-5p","MI0000074"
chr13,91351245,91351267,+,"hsa-miR-19b-3p","MI0000074"
chr13,91351324,91351346,+,"hsa-miR-92a-1-5p","MI0000093"
chr13,91351361,91351382,+,"hsa-miR-92a-3p","MI0000093"
chr13,92490163,92490184,+,"hsa-miR-548as-5p","MI0019132"
chr13,92490199,92490220,+,"hsa-miR-548as-3p","MI0019132"
chr13,96427229,96427249,+,"hsa-miR-4501","MI0016864"
chr13,98208533,98208554,+,"hsa-miR-3170","MI0014201"
chr13,99356146,99356168,+,"hsa-miR-623","MI0003637"
chr13,99643123,99643139,+,"hsa-miR-4306","MI0015836"
chr13,101967704,101967725,-,"hsa-miR-2681-5p","MI0012062"
chr13,101967665,101967686,-,"hsa-miR-2681-3p","MI0012062"
chr13,102045974,102045995,-,"hsa-miR-4705","MI0017338"
chr13,107531217,107531237,-,"hsa-miR-1267","MI0006404"
chr13,110340968,110340989,+,"hsa-miR-8073","MI0025909"
chr13,113262966,113262989,+,"hsa-miR-8075","MI0025911"
chr13,114244505,114244525,+,"hsa-miR-548ar-5p","MI0019131"
chr13,114244541,114244561,+,"hsa-miR-548ar-3p","MI0019131"
chr13,114273885,114273906,+,"hsa-miR-4502","MI0016865"
chr14,21023355,21023376,-,"hsa-miR-6717-5p","MI0022551"
chr14,22956998,22957020,-,"hsa-miR-4707-5p","MI0017340"
chr14,22956957,22956978,-,"hsa-miR-4707-3p","MI0017340"
chr14,23388602,23388623,-,"hsa-miR-208a-3p","MI0000251"
chr14,23388637,23388658,-,"hsa-miR-208a-5p","MI0000251"
chr14,23417997,23418018,-,"hsa-miR-208b-3p","MI0005570"
chr14,23418032,23418053,-,"hsa-miR-208b-5p","MI0005570"
chr14,24143489,24143511,-,"hsa-miR-7703","MI0025239"
chr14,26908697,26908715,+,"hsa-miR-4307","MI0015838"
chr14,27633246,27633269,-,"hsa-miR-3171","MI0014202"
chr14,31014706,31014727,-,"hsa-miR-624-5p","MI0003638"
chr14,31014669,31014689,-,"hsa-miR-624-3p","MI0003638"
chr14,36952358,36952379,-,"hsa-miR-4503","MI0016866"
chr14,47761061,47761082,-,"hsa-miR-548y","MI0016595"
chr14,49966399,49966419,+,"hsa-miR-6076","MI0020353"
chr14,50299871,50299892,-,"hsa-miR-4504","MI0016867"
chr14,53948463,53948484,-,"hsa-miR-5580-5p","MI0019135"
chr14,53948427,53948448,-,"hsa-miR-5580-3p","MI0019135"
chr14,54878123,54878140,-,"hsa-miR-4308","MI0015839"
chr14,59646999,59647020,-,"hsa-miR-5586-5p","MI0019143"
chr14,59646962,59646983,-,"hsa-miR-5586-3p","MI0019143"
chr14,60648681,60648700,+,"hsa-miR-9718","MI0030983"
chr14,64095084,64095105,-,"hsa-miR-548h-5p","MI0006411"
chr14,64785663,64785684,-,"hsa-miR-7855-5p","MI0025525"
chr14,65044697,65044721,+,"hsa-miR-4706","MI0017339"
chr14,65335155,65335175,-,"hsa-miR-4708-5p","MI0017341"
chr14,65335123,65335144,-,"hsa-miR-4708-3p","MI0017341"
chr14,65471116,65471136,+,"hsa-miR-625-5p","MI0003639"
chr14,65471153,65471174,+,"hsa-miR-625-3p","MI0003639"
chr14,67441902,67441922,-,"hsa-miR-5694","MI0019301"
chr14,72516831,72516852,+,"hsa-miR-7843-5p","MI0025510"
chr14,72516866,72516887,+,"hsa-miR-7843-3p","MI0025510"
chr14,73758749,73758766,+,"hsa-miR-4505","MI0016868"
chr14,74480175,74480196,-,"hsa-miR-4709-5p","MI0017342"
chr14,74480135,74480157,-,"hsa-miR-4709-3p","MI0017342"
chr14,77266231,77266248,+,"hsa-miR-1260a","MI0006394"
chr14,93948233,93948252,-,"hsa-miR-4506","MI0016869"
chr14,95137923,95137944,-,"hsa-miR-3173-3p","MI0014204"
chr14,95137961,95137982,-,"hsa-miR-3173-5p","MI0014204"
chr14,100109438,100109455,-,"hsa-miR-151b","MI0003772"
chr14,100109673,100109693,+,"hsa-miR-342-5p","MI0000805"
chr14,100109715,100109737,+,"hsa-miR-342-3p","MI0000805"
chr14,100277362,100277383,+,"hsa-miR-6764-5p","MI0022609"
chr14,100277397,100277417,+,"hsa-miR-6764-3p","MI0022609"
chr14,100307876,100307897,+,"hsa-miR-345-5p","MI0000825"
chr14,100307912,100307933,+,"hsa-miR-345-3p","MI0000825"
chr14,100814551,100814570,+,"hsa-miR-2392","MI0016870"
chr14,100852409,100852431,+,"hsa-miR-770-5p","MI0005118"
chr14,100869075,100869096,+,"hsa-miR-493-5p","MI0003132"
chr14,100869116,100869137,+,"hsa-miR-493-3p","MI0003132"
chr14,100874515,100874535,+,"hsa-miR-337-5p","MI0000806"
chr14,100874553,100874574,+,"hsa-miR-337-3p","MI0000806"
chr14,100875075,100875094,+,"hsa-miR-665","MI0005563"
chr14,100881026,100881046,+,"hsa-miR-431-5p","MI0001721"
chr14,100881069,100881090,+,"hsa-miR-431-3p","MI0001721"
chr14,100881949,100881970,+,"hsa-miR-433-3p","MI0001723"
chr14,100881897,100881918,+,"hsa-miR-433-5p","MI0001723"
chr14,100883001,100883022,+,"hsa-miR-127-5p","MI0000472"
chr14,100883035,100883056,+,"hsa-miR-127-3p","MI0000472"
chr14,100884496,100884518,+,"hsa-miR-432-5p","MI0003133"
chr14,100884544,100884564,+,"hsa-miR-432-3p","MI0003133"
chr14,100884716,100884738,+,"hsa-miR-136-5p","MI0000475"
chr14,100884750,100884771,+,"hsa-miR-136-3p","MI0000475"
chr14,100911186,100911207,+,"hsa-miR-370-3p","MI0000778"
chr14,100911151,100911172,+,"hsa-miR-370-5p","MI0000778"
chr14,101022071,101022091,+,"hsa-miR-379-5p","MI0000787"
chr14,101022109,101022130,+,"hsa-miR-379-3p","MI0000787"
chr14,101023340,101023360,+,"hsa-miR-411-5p","MI0003675"
chr14,101023375,101023396,+,"hsa-miR-411-3p","MI0003675"
chr14,101023800,101023821,+,"hsa-miR-299-5p","MI0000744"
chr14,101023832,101023853,+,"hsa-miR-299-3p","MI0000744"
chr14,101025021,101025042,+,"hsa-miR-380-5p","MI0000788"
chr14,101025056,101025077,+,"hsa-miR-380-3p","MI0000788"
chr14,101025620,101025640,+,"hsa-miR-1197","MI0006656"
chr14,101025747,101025768,+,"hsa-miR-323a-5p","MI0000807"
chr14,101025782,101025802,+,"hsa-miR-323a-3p","MI0000807"
chr14,101026071,101026092,+,"hsa-miR-758-3p","MI0003757"
chr14,101026034,101026055,+,"hsa-miR-758-5p","MI0003757"
chr14,101026834,101026855,+,"hsa-miR-329-3p","MI0001725"
chr14,101026797,101026819,+,"hsa-miR-329-5p","MI0001725"
chr14,101027151,101027172,+,"hsa-miR-329-3p","MI0001726"
chr14,101027114,101027136,+,"hsa-miR-329-5p","MI0001726"
chr14,101029681,101029702,+,"hsa-miR-494-3p","MI0003134"
chr14,101029648,101029670,+,"hsa-miR-494-5p","MI0003134"
chr14,101030061,101030083,+,"hsa-miR-1193","MI0014205"
chr14,101032033,101032054,+,"hsa-miR-543","MI0005565"
chr14,101033804,101033825,+,"hsa-miR-495-3p","MI0003135"
chr14,101033768,101033789,+,"hsa-miR-495-5p","MI0003135"
chr14,101039732,101039752,+,"hsa-miR-376c-3p","MI0000776"
chr14,101039694,101039714,+,"hsa-miR-376c-5p","MI0000776"
chr14,101040118,101040138,+,"hsa-miR-376a-3p","MI0003529"
chr14,101040080,101040100,+,"hsa-miR-376a-2-5p","MI0003529"
chr14,101040234,101040255,+,"hsa-miR-654-5p","MI0003676"
chr14,101040269,101040290,+,"hsa-miR-654-3p","MI0003676"
chr14,101040497,101040518,+,"hsa-miR-376b-3p","MI0002466"
chr14,101040459,101040480,+,"hsa-miR-376b-5p","MI0002466"
chr14,101040788,101040809,+,"hsa-miR-376a-5p","MI0000784"
chr14,101040825,101040845,+,"hsa-miR-376a-3p","MI0000784"
chr14,101041414,101041435,+,"hsa-miR-300","MI0005525"
chr14,101042991,101043011,+,"hsa-miR-1185-5p","MI0003844"
chr14,101043029,101043050,+,"hsa-miR-1185-1-3p","MI0003844"
chr14,101044212,101044232,+,"hsa-miR-1185-5p","MI0003821"
chr14,101044250,101044271,+,"hsa-miR-1185-2-3p","MI0003821"
chr14,101045968,101045989,+,"hsa-miR-381-3p","MI0000789"
chr14,101045927,101045948,+,"hsa-miR-381-5p","MI0000789"
chr14,101046505,101046526,+,"hsa-miR-487b-3p","MI0003530"
chr14,101046469,101046490,+,"hsa-miR-487b-5p","MI0003530"
chr14,101047329,101047350,+,"hsa-miR-539-5p","MI0003514"
chr14,101047369,101047390,+,"hsa-miR-539-3p","MI0003514"
chr14,101047949,101047969,+,"hsa-miR-889-3p","MI0005540"
chr14,101047911,101047932,+,"hsa-miR-889-5p","MI0005540"
chr14,101048712,101048733,+,"hsa-miR-544a","MI0003515"
chr14,101049610,101049631,+,"hsa-miR-655-3p","MI0003677"
chr14,101049572,101049593,+,"hsa-miR-655-5p","MI0003677"
chr14,101052494,101052515,+,"hsa-miR-487a-3p","MI0002471"
chr14,101052458,101052479,+,"hsa-miR-487a-5p","MI0002471"
chr14,101054316,101054337,+,"hsa-miR-382-5p","MI0000790"
chr14,101054352,101054372,+,"hsa-miR-382-3p","MI0000790"
chr14,101054694,101054715,+,"hsa-miR-134-5p","MI0000474"
chr14,101054732,101054754,+,"hsa-miR-134-3p","MI0000474"
chr14,101055300,101055322,+,"hsa-miR-668-3p","MI0003761"
chr14,101055264,101055282,+,"hsa-miR-668-5p","MI0003761"
chr14,101055427,101055448,+,"hsa-miR-485-5p","MI0002469"
chr14,101055464,101055485,+,"hsa-miR-485-3p","MI0002469"
chr14,101056233,101056255,+,"hsa-miR-323b-5p","MI0014206"
chr14,101056269,101056290,+,"hsa-miR-323b-3p","MI0014206"
chr14,101059769,101059790,+,"hsa-miR-154-5p","MI0000480"
chr14,101059805,101059826,+,"hsa-miR-154-3p","MI0000480"
chr14,101060628,101060649,+,"hsa-miR-496","MI0003136"
chr14,101062056,101062077,+,"hsa-miR-377-5p","MI0000785"
chr14,101062094,101062115,+,"hsa-miR-377-3p","MI0000785"
chr14,101064504,101064528,+,"hsa-miR-541-5p","MI0005539"
chr14,101064548,101064569,+,"hsa-miR-541-3p","MI0005539"
chr14,101065314,101065336,+,"hsa-miR-409-5p","MI0001735"
chr14,101065346,101065367,+,"hsa-miR-409-3p","MI0001735"
chr14,101065500,101065522,+,"hsa-miR-412-3p","MI0002464"
chr14,101065465,101065487,+,"hsa-miR-412-5p","MI0002464"
chr14,101065606,101065627,+,"hsa-miR-369-5p","MI0000777"
chr14,101065641,101065661,+,"hsa-miR-369-3p","MI0000777"
chr14,101065961,101065981,+,"hsa-miR-410-3p","MI0002465"
chr14,101065925,101065945,+,"hsa-miR-410-5p","MI0002465"
chr14,101066766,101066786,+,"hsa-miR-656-3p","MI0003678"
chr14,101066731,101066751,+,"hsa-miR-656-5p","MI0003678"
chr14,101560362,101560383,-,"hsa-miR-1247-5p","MI0006382"
chr14,101560326,101560349,-,"hsa-miR-1247-3p","MI0006382"
chr14,102539654,102539671,+,"hsa-miR-4309","MI0015837"
chr14,104117469,104117490,+,"hsa-miR-203a-3p","MI0000283"
chr14,104117431,104117455,+,"hsa-miR-203a-5p","MI0000283"
chr14,104117468,104117489,-,"hsa-miR-203b-5p","MI0017343"
chr14,104117428,104117450,-,"hsa-miR-203b-3p","MI0017343"
chr14,104677723,104677740,-,"hsa-miR-4710","MI0017344"
chr14,104865329,104865349,+,"hsa-miR-12121","MI0039723"
chr14,105150840,105150864,-,"hsa-miR-6765-5p","MI0022610"
chr14,105150778,105150798,-,"hsa-miR-6765-3p","MI0022610"
chr14,105621151,105621170,+,"hsa-miR-8071","MI0025907"
chr14,105640203,105640222,+,"hsa-miR-8071","MI0026417"
chr14,105857513,105857534,-,"hsa-miR-4539","MI0016910"
chr14,105858125,105858144,-,"hsa-miR-4507","MI0016871"
chr14,105858221,105858242,-,"hsa-miR-4538","MI0016909"
chr14,105859532,105859553,-,"hsa-miR-4537","MI0016908"
chr14,106850943,106850964,-,"hsa-miR-5195-5p","MI0018174"
chr14,106850910,106850930,-,"hsa-miR-5195-3p","MI0018174"
chr15,20832838,20832860,+,"hsa-miR-3118","MI0014132"
chr15,20940261,20940279,+,"hsa-miR-5701","MI0019308"
chr15,21406428,21406450,+,"hsa-miR-3118","MI0014133"
